teamID;nombre_equipo;acronimo;color_primario;logo_local;logo_url_src
26886;Espana_W;ESPW;#AA151B;images/logos/espana.png;https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569
338;Espana_M;ESP;#AA151B;images/logos/espana.png;https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569
53;Athletic Club;ATH;#D6001C;images/logos/ath.png;https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038
63;Atletico;ATM;#A60000;images/logos/atm.png;https://tmssl.akamaized.net//images/wappen/head/621.png?lm=1695069038
65;Barcelona;FCB;#004D98;images/logos/fcb.png;https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548
62;Celta Vigo;CEL;#A5D1E0;images/logos/cel.png;https://tmssl.akamaized.net//images/wappen/head/940.png?lm=1406966406
51;Mallorca;MLL;#D5122B;images/logos/mll.png;https://tmssl.akamaized.net//images/wappen/head/237.png?lm=1407484750
819;Getafe;GET;#0050B0;images/logos/get.png;https://tmssl.akamaized.net//images/wappen/head/3709.png?lm=1408655116
2783;Girona;GIR;#D20A11;images/logos/gir.png;https://tmssl.akamaized.net//images/wappen/head/12321.png?lm=1730455718
70;Espanyol;ESP;#0070B8;images/logos/esp.png;https://tmssl.akamaized.net//images/wappen/head/714.png?lm=1406966369
54;Real Betis;BET;#009F3C;images/logos/bet.png;https://tmssl.akamaized.net//images/wappen/head/150.png?lm=1663358526
52;Real Madrid;RMA;#CACACA;images/logos/rma.png;https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474
68;Real Sociedad;RSO;#0044A9;images/logos/rso.png;https://tmssl.akamaized.net//images/wappen/head/681.png?lm=1614795530
67;Sevilla;SEV;#D10000;images/logos/sev.png;https://tmssl.akamaized.net//images/wappen/head/368.png?lm=1730896593
131;Osasuna;OSA;#9D0B1E;images/logos/osa.png;https://tmssl.akamaized.net//images/wappen/head/331.png?lm=1686070937
64;Rayo Vallecano;RAY;#D91C2A;images/logos/ray.png;https://tmssl.akamaized.net//images/wappen/head/367.png?lm=1653488445
55;Valencia;VAL;#F18E00;images/logos/val.png;https://tmssl.akamaized.net//images/wappen/head/1049.png?lm=1406966320
839;Villarreal;VIL;#FFF300;images/logos/vil.png;https://tmssl.akamaized.net//images/wappen/head/1050.png?lm=1408655310
60;Deportivo Alaves;ALA;#005BAC;images/logos/ala.png;https://tmssl.akamaized.net//images/wappen/head/1108.png?lm=1596131395
61;Real Oviedo;OVI;#003087;images/logos/ovi.png;https://tmssl.akamaized.net//images/wappen/head/2497.png?lm=1417193316
833;Elche;ELC;#1E5631;images/logos/elc.png;https://tmssl.akamaized.net//images/wappen/head/1531.png?lm=1421955260
832;Levante;LEV;#002868;images/logos/lev.png;https://tmssl.akamaized.net//images/wappen/head/3368.png?lm=1408655062
167;City;MCI;#6CABDD;images/logos/mci.png;https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331
31221;Barcelona_W;FCBW;#004D98;images/logos/fcb.png;https://tmssl.akamaized.net//images/wappen/head/131.png?lm=1406739548
