id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,qNone_PassEndX,qNone_PassEndY,qNone_Angle,qNone_Zone,qNone_Longball,qNone_Length,qNone_HeadPass,qNone_OppositeRelatedEvent,qNone_Foul,qNone_Defensive,qNone_Offensive,qNone_FreekickTaken,qNone_PlayerCaughtOffside,qNone_IndirectFreekickTaken,qNone_ShotAssist,qNone_RightFoot,qNone_Cross,qNone_IntentionalAssist,qNone_KeyPass,qNone_BlockedY,qNone_LeftFoot,qNone_GoalMouthY,qNone_MissLeft,qNone_BoxCentre,qNone_BlockedX,qNone_RelatedEventId,qNone_RegularPlay,qNone_FirstTouch,qNone_Assisted,qNone_GoalMouthZ,qNone_MissHigh,qNone_GoalKick,qNone_Chipped,qNone_ThrowIn,qNone_MissRight,qNone_CornerTaken,qNone_Blocked,qNone_FromCorner,qNone_LowCentre,qNone_OutfielderBlock,qNone_LayOff,qNone_LowLeft,qNone_FastBreak,qNone_BoxLeft,qNone_IndividualPlay,qNone_Hands,qNone_ParriedDanger,qNone_KeeperSaveInTheBox,qNone_Yellow,qNone_KeeperThrow,qNone_Head,qNone_OverRun,qNone_BlockedCross,qNone_OutOfBoxCentre,qNone_Throughball,qNone_DeepBoxLeft,qNone_SixYardBlock,qNone_Volley,qNone_GoalDisallowed,qNone_Penalty,qNone_KeeperMissed,qNone_DivingSave,qNone_LowRight,qNone_BigChance,qNone_SmallBoxCentre,qNone_LeadingToAttempt,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_LastMan,qNone_ThrowinSetPiece,qNone_BigChanceCreated,qNone_StandingSave,qNone_HighRight,qNone_BoxRight,qNone_TeamFormation,qNone_TeamPlayerFormation,qNone_InvolvedPlayers,qNone_CaptainPlayerId,qNone_IntentionalGoalAssist,qNone_HighClaim
2836497871.00,11005,0,67,408616.00,70.70,37.10,0,FirstHalf,OffsideGiven,Unsuccessful,[61],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486201.00,2,0,53,,0.00,0.00,0,FirstHalf,Start,Successful,[],False,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486217.00,2,0,67,,0.00,0.00,0,FirstHalf,Start,Successful,[],False,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486323.00,3,0,53,238899.00,50.00,50.00,0,FirstHalf,Pass,Successful,"[91, 117, 127, 35, 38, 215, 218]",True,0.00,19.20,41.90,,,,,,,,,,19.2,41.9,3.31,Back,1.00,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486381.00,4,0,53,332823.00,22.70,32.80,0,FirstHalf,Pass,Unsuccessful,"[91, 120, 128, 36, 37, 217, 218]",True,9.00,67.80,53.10,,,,,,,,,,67.8,53.1,0.28,Center,1.00,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486447.00,3,0,67,388505.00,33.70,51.50,0,FirstHalf,Pass,Unsuccessful,"[91, 118, 120, 29, 139, 35, 38, 215, 218]",True,11.00,24.20,14.10,,,,,,,,,,24.2,14.1,4.34,Back,,27.3,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486459.00,4,0,67,395187.00,23.00,14.40,0,FirstHalf,Foul,Successful,"[91, 63]",True,17.00,,,,,,,,,,,,,,,Back,,,,5,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486449.00,5,0,53,408449.00,77.00,85.60,0,FirstHalf,Foul,Unsuccessful,[64],False,17.00,,,,,,,,,,,,,,,Left,,,,4,1,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486871.00,5,0,67,39187.00,17.60,11.40,0,FirstHalf,OffsidePass,Successful,"[91, 217]",True,43.00,70.70,37.10,,,,,,,,,,70.7,37.1,,Center,1.00,,,,,,,1.00,408616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486893.00,6,0,53,402663.00,32.30,63.00,0,FirstHalf,OffsideProvoked,Successful,[62],False,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836486957.00,7,0,53,402663.00,32.90,60.60,0,FirstHalf,Pass,Successful,"[91, 117, 30, 132, 35, 38, 215, 218]",True,53.00,30.20,35.80,,,,,,,,,,30.2,35.8,4.55,Back,,17.1,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487017.00,8,0,53,357839.00,58.00,31.80,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,59.00,63.20,24.00,,,,,,,,,,63.2,24.0,5.51,Center,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487057.00,9,1,53,255182.00,64.10,20.30,1,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,1.00,91.30,9.80,,,,,,,,,,91.3,9.8,6.04,Right,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487097.00,10,1,53,422820.00,89.70,9.20,1,FirstHalf,Pass,Successful,"[91, 119, 123, 137, 125, 40, 41, 36, 37, 217, 218]",True,4.00,93.00,44.60,,,,,,,,,,93.0,44.6,1.43,Center,,24.3,,,,,,,,,13,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487105.00,11,1,53,541704.00,93.10,44.00,1,FirstHalf,MissedShots,Successful,"[91, 7, 90, 10, 1, 3, 13]",True,5.00,,,10.00,422820.00,96.70,76.40,2.80,96.60,True,,,,,,Center,,,,,,,,,,,,,,1.00,,76.4,1.00,96.6,1.00,1.00,96.7,10,1.00,1.00,1.00,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487245.00,12,1,53,238899.00,80.80,75.00,1,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,13.00,94.50,69.40,,,,,,,,,,94.5,69.4,6.02,Center,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487249.00,13,1,53,255182.00,94.50,69.40,1,FirstHalf,BallTouch,Unsuccessful,"[91, 69]",True,14.00,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487707.00,8,1,67,39187.00,4.90,49.20,1,FirstHalf,Pass,Successful,"[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,43.00,66.80,69.70,,,,,,,,,,66.8,69.7,0.21,Center,1.00,66.5,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487721.00,9,1,67,408616.00,66.80,69.70,1,FirstHalf,Pass,Unsuccessful,"[91, 120, 29, 139, 36, 38, 217, 218]",True,49.00,71.30,49.00,,,,,,,,,,71.3,49.0,5.04,Center,,14.8,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487789.00,15,1,53,56057.00,29.10,41.00,1,FirstHalf,Pass,Successful,"[91, 117, 30, 139, 36, 38, 215, 218]",True,51.00,31.10,30.70,,,,,,,,,,31.1,30.7,5.00,Back,,7.3,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487797.00,16,1,53,106586.00,31.10,30.70,1,FirstHalf,BallRecovery,Successful,[93],False,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487835.00,17,1,53,106586.00,31.10,30.70,1,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 216, 218]",True,53.00,36.20,27.00,,,,,,,,,,36.2,27.0,5.84,Back,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487839.00,18,1,53,255182.00,36.20,30.40,1,FirstHalf,Dispossessed,Successful,"[91, 70]",True,56.00,,,,,,,,,,,,,,,Back,,,,10,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487897.00,10,1,67,516051.00,63.80,69.60,1,FirstHalf,Tackle,Unsuccessful,"[91, 142]",True,56.00,,,,,,,,,,,,,,,Center,,,,18,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487857.00,19,1,53,238899.00,36.80,38.60,1,FirstHalf,Foul,Successful,"[91, 63]",True,57.00,,,,,,,,,,,,,,,Back,,,,11,1,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836487903.00,11,1,67,317630.00,63.20,61.40,1,FirstHalf,Foul,Unsuccessful,[64],False,57.00,,,,,,,,,,,,,,,Center,,,,19,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
