playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,s_totalSaves,s_collected,s_parriedSafe,s_possession,s_ratings,s_clearances,s_interceptions,s_touches,s_passesTotal,s_passesAccurate,s_passesKey,s_throwInsTotal,s_throwInsAccurate,s_foulsCommited,s_tacklesTotal,s_tackleUnsuccesful,s_dribbledPast,s_dribblesWon,s_dribblesAttempted,s_dribblesLost,s_aerialsTotal,s_defensiveAerials,s_tackleSuccessful,s_shotsTotal,s_shotsOffTarget,s_aerialsWon,s_offensiveAerials,s_cornersTotal,s_offsidesCaught,s_dispossessed,s_cornersAccurate,s_shotsOnTarget,s_shotsBlocked,teamId,s_claimsHigh,s_shotsOnPost,s_passSuccess,s_dribbleSuccess,s_tackleSuccess,s_aerialSuccess,s_throwInAccuracy,minutes,s_touches_per90,s_passesTotal_per90,s_passesAccurate_per90,s_passesKey_per90,s_shotsTotal_per90,s_shotsOnTarget_per90,s_dribblesAttempted_per90,s_dribblesWon_per90,s_tacklesTotal_per90,s_tackleSuccessful_per90,s_tackleUnsuccesful_per90,s_interceptions_per90,s_clearances_per90,s_aerialsTotal_per90,s_aerialsWon_per90,s_offsidesCaught_per90,s_dispossessed_per90,s_foulsCommited_per90,s_cornersTotal_per90,s_cornersAccurate_per90,s_throwInsTotal_per90,s_throwInsAccurate_per90,s_totalSaves_per90,s_parriedSafe_per90,pass_acc_pct,dribble_succ_pct,aerial_win_pct,tackle_succ_pct,corner_acc_pct,throwin_acc_pct
423420,1,Leo Román,GK,189,83,25,1.0,False,home,,,,,,,5.00,2.00,3.00,1.09,5.93,3.00,1.00,46.00,35.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,51,,,34.29,,,,,102.00,40.59,30.88,10.59,,,,,,,,,0.88,2.65,,,,,,,,,,4.41,2.65,34.29,,,,,
384368,2,Mateu Morey,DR,173,67,25,1.0,False,home,115996.00,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,,,,,,,1.18,5.97,3.00,,28.00,13.00,11.00,1.00,5.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,,,,,,,,,,,,,,51,,,84.62,50.00,,,60.00,53.00,47.55,22.08,18.68,1.70,,,3.40,1.70,1.70,,1.70,,5.09,,,,,1.70,,,8.49,5.09,,,84.62,50.00,,,,60.00
142387,24,Martin Valjent,DC,187,70,29,1.0,False,home,,,,,,,,,,1.29,5.96,6.00,,37.00,22.00,17.00,,,,1.00,1.00,,,,,,1.00,1.00,1.00,,,,,,,,,,,51,,,77.27,,100.00,,,102.00,32.65,19.41,15.00,,,,,,0.88,0.88,,,5.29,0.88,,,,0.88,,,,,,,77.27,,,100.00,,
294006,21,Antonio Raíllo,DC,187,80,33,1.0,False,home,,,,,,,,,,1.29,5.83,2.00,,39.00,30.00,25.00,,,,,2.00,1.00,1.00,,,,2.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,51,,,83.33,,50.00,50.00,,102.00,34.41,26.47,22.06,,0.88,,,,1.76,0.88,0.88,,1.76,1.76,0.88,,,,,,,,,,83.33,,50.00,50.00,,
135098,22,Johan Mojica,DL,185,66,32,1.0,False,home,312580.00,"{'value': 15, 'displayName': 'PreGame'}",98.00,,,,,,,1.19,5.84,,2.00,46.00,23.00,13.00,,7.00,7.00,1.00,4.00,1.00,1.00,,2.00,2.00,,,3.00,,,,,2.00,1.00,1.00,,,,51,,,56.52,,75.00,,100.00,98.00,42.24,21.12,11.94,,,,1.84,,3.67,2.76,0.92,1.84,,,,0.92,0.92,0.92,1.84,,6.43,6.43,,,56.52,,,75.00,,100.00
425092,6,Antonio Sánchez,DMC,179,78,28,1.0,False,home,,,,,,,,,,1.11,5.98,1.00,1.00,36.00,21.00,19.00,,3.00,3.00,,5.00,2.00,2.00,,,,1.00,,3.00,1.00,1.00,,1.00,,,1.00,,,,51,,,90.48,,60.00,,100.00,102.00,31.76,18.53,16.76,,0.88,,,,4.41,2.65,1.76,0.88,0.88,0.88,,,0.88,,,,2.65,2.65,,,90.48,,,60.00,,100.00
349660,8,Manu Morlanes,DMC,178,75,26,1.0,False,home,,,,,,,,,,1.50,5.71,1.00,,18.00,15.00,14.00,,,,1.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,51,,,93.33,,,,,102.00,15.88,13.24,12.35,,,,,,1.76,,1.76,,0.88,,,,,0.88,,,,,,,93.33,,,,,
126316,11,Takuma Asano,AMR,173,71,30,1.0,False,home,463233.00,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,,,,,,,1.00,5.81,,,8.00,5.00,2.00,,,,,1.00,1.00,1.00,,1.00,1.00,2.00,,,,,,2.00,,,,,,,51,,,40.00,,,,,53.00,13.58,8.49,3.40,,,,1.70,,1.70,,1.70,,,3.40,,,,,,,,,,,40.00,,,,,
445092,20,Pablo Torre,AMC,173,65,22,1.0,False,home,6227.00,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,,,,,,,1.18,5.95,1.00,1.00,17.00,11.00,9.00,,,,2.00,,,,,,,1.00,,,,,,1.00,1.00,,,,,,51,,,81.82,,,,,53.00,28.87,18.68,15.28,,,,,,,,,1.70,1.70,1.70,,,,3.40,1.70,,,,,,81.82,,,,,
106596,10,Sergi Darder,AML,180,71,31,1.0,False,home,537870.00,"{'value': 2, 'displayName': 'SecondHalf'}",90.00,,,,,,,1.11,5.97,,,26.00,17.00,14.00,1.00,1.00,1.00,,,,,,3.00,3.00,,,,,,,,,,,1.00,,,51,,,82.35,,,,100.00,90.00,26.00,17.00,14.00,1.00,,,3.00,,,,,,,,,,,,,1.00,1.00,1.00,,,82.35,,,,,100.00
254352,7,Vedat Muriqi,FW,194,92,31,1.0,False,home,,,,,,,,,,1.00,5.87,,,8.00,4.00,1.00,,,,2.00,,,,,,,2.00,1.00,,1.00,,1.00,1.00,,1.00,,,1.00,,51,,,25.00,,,50.00,,102.00,7.06,3.53,0.88,,0.88,0.88,,,,,,,,1.76,0.88,0.88,,1.76,,,,,,,25.00,,50.00,,,
463233,18,Mateo Joseph,Sub,185,74,21,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,126316.00,,,,1.17,6.03,,,16.00,7.00,5.00,,,,,,,,,,,2.00,,,,,1.00,2.00,,,1.00,,,,51,,,71.43,,,50.00,,49.00,29.39,12.86,9.18,,,,,,,,,,,3.67,1.84,,1.84,,,,,,,,71.43,,50.00,,,
6227,14,Dani Rodríguez,Sub,178,71,37,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,445092.00,,,,1.20,6.09,1.00,,30.00,11.00,5.00,,2.00,2.00,,2.00,,,,1.00,1.00,6.00,,2.00,1.00,,2.00,6.00,,,3.00,,,1.00,51,,,45.45,,100.00,33.33,100.00,49.00,55.10,20.20,9.18,,1.84,,1.84,,3.67,3.67,,,1.84,11.02,3.67,,5.51,,,,3.67,3.67,,,45.45,,33.33,100.00,,100.00
115996,5,Omar Mascarell,Sub,181,76,32,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",53.00,384368.00,,,,1.33,6.22,,1.00,13.00,8.00,5.00,1.00,,,,2.00,,,,,,,,2.00,,,,,,,,,,,51,,,62.50,,100.00,,,49.00,23.88,14.69,9.18,1.84,,,,,3.67,3.67,,1.84,,,,,,,,,,,,,62.50,,,100.00,,
