id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,qNone_Angle,qNone_PassEndX,qNone_PassEndY,qNone_Zone,qNone_Length,qNone_Longball,qNone_Chipped,qNone_OppositeRelatedEvent,qNone_Offensive,qNone_Defensive,qNone_HeadPass,qNone_LayOff,qNone_ThrowIn,qNone_OverRun,qNone_PlayerCaughtOffside,qNone_IndirectFreekickTaken,qNone_FreekickTaken,qNone_ShotAssist,qNone_RegularPlay,qNone_IntentionalAssist,qNone_Cross,qNone_BigChanceCreated,qNone_IntentionalGoalAssist,qNone_KeyPass,qNone_FirstTouch,qNone_Head,qNone_SmallBoxCentre,qNone_Assisted,qNone_RelatedEventId,qNone_GoalMouthZ,qNone_GoalMouthY,qNone_LowLeft,qNone_BigChance,qNone_HighClaim,qNone_KeeperThrow,qNone_Foul,qNone_Yellow,qNone_LastMan,qNone_BlockedCross,qNone_MissLeft,qNone_CornerTaken,qNone_LowRight,qNone_BlockedX,qNone_LeftFoot,qNone_BlockedY,qNone_BoxCentre,qNone_Hands,qNone_Collected,qNone_KeeperSaveInTheBox,qNone_Blocked,qNone_IndividualPlay,qNone_LowCentre,qNone_OutOfBoxCentre,qNone_OutfielderBlock,qNone_RightFoot,qNone_HighCentre,qNone_VoidYellowCard,qNone_SecondYellow,qNone_DirectFreekick,qNone_GoalKick,qNone_MissHigh,qNone_Red,qNone_Volley,qNone_MissRight,qNone_FromCorner,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_TeamFormation,qNone_TeamPlayerFormation,qNone_InvolvedPlayers,qNone_CaptainPlayerId,qNone_HighLeft,qNone_BoxRight,qNone_SetPiece,qNone_DivingSave,qNone_ParriedSafe,qNone_AerialFoul,qNone_StandingSave,qNone_KeeperSaveObox,qNone_BoxLeft
2835741113.00,2,0,0.00,51,0.00,0.00,0,FirstHalf,Start,Successful,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741137.00,2,0,0.00,65,0.00,0.00,0,FirstHalf,Start,Successful,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741143.00,3,0,0.00,51,50.00,50.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 38, 216, 218]",True,106596.00,43.70,49.60,,,,,,,,,,3.18,43.7,49.6,Back,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741175.00,4,0,4.00,51,43.70,49.60,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,349660.00,29.50,63.30,,,,,,,,,,2.58,29.5,63.3,Back,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741223.00,5,0,5.00,51,29.50,63.40,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 215, 218]",True,294006.00,31.30,92.70,,,,,,,,,,1.48,31.3,92.7,Back,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741243.00,6,0,6.00,51,31.40,93.30,0,FirstHalf,Pass,Unsuccessful,"[91, 120, 128, 36, 38, 216, 218]",True,135098.00,56.20,82.10,,,,,,,,,,6.00,56.2,82.1,Left,27.1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741227.00,3,0,7.00,65,42.60,9.70,0,FirstHalf,Pass,Unsuccessful,"[91, 118, 120, 29, 36, 37, 216, 218]",True,368091.00,44.10,10.60,,,,,,,,,,0.37,44.1,10.6,Back,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741293.00,7,0,11.00,51,53.00,85.70,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,445092.00,57.80,77.70,,,,,,,,,,5.46,57.8,77.7,Center,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835767035.00,188,0,12.00,51,58.60,77.60,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 38, 216, 218]",True,425092.00,50.40,75.60,,,,,,,,,,3.30,50.4,75.6,Center,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835767237.00,189,0,13.00,51,48.30,75.00,0,FirstHalf,BallTouch,Unsuccessful,"[91, 69]",True,349660.00,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835789117.00,452,0,14.00,65,58.20,25.00,0,FirstHalf,BallTouch,Unsuccessful,"[91, 69]",True,349760.00,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741403.00,8,0,15.00,51,32.90,67.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 38, 215, 218]",True,349660.00,21.10,38.60,,,,,,,,,,4.14,21.1,38.6,Back,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741439.00,9,0,20.00,51,20.40,38.80,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 215, 218]",True,142387.00,24.50,18.20,,,,,,,,,,5.01,24.5,18.2,Back,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741463.00,10,0,22.00,51,24.20,18.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,384368.00,11.60,33.90,,,,,,,,,,2.46,11.6,33.9,Back,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741519.00,11,0,24.00,51,12.00,34.50,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,142387.00,3.90,51.60,,,,,,,,,,2.20,3.9,51.6,Back,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741543.00,12,0,27.00,51,3.90,51.60,0,FirstHalf,Pass,Unsuccessful,"[91, 118, 120, 124, 128, 36, 37, 216, 218]",True,423420.00,46.80,63.10,,,,,,,,,,0.17,46.8,63.1,Back,45.7,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741549.00,4,0,27.00,65,54.00,40.50,0,FirstHalf,Pass,Unsuccessful,"[91, 120, 29, 36, 37, 217, 218]",True,384711.00,75.60,64.00,,,,,,,,,,0.61,75.6,64.0,Center,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741617.00,13,0,31.00,51,23.00,33.70,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 215, 218]",True,142387.00,33.20,12.60,,,,,,,,,,5.35,33.2,12.6,Back,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741649.00,14,0,37.00,51,29.70,6.50,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,384368.00,24.20,19.50,,,,,,,,,,2.15,24.2,19.5,Back,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741671.00,15,0,39.00,51,26.40,10.30,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 215, 218]",True,142387.00,29.70,2.60,,,,,,,,,,5.30,29.7,2.6,Back,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741693.00,5,0,39.00,65,68.70,94.40,0,FirstHalf,Challenge,Unsuccessful,[55],False,349760.00,,,,,,,,,,,,,,,Left,,,,16,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835741707.00,16,0,39.00,51,31.30,5.60,0,FirstHalf,TakeOn,Successful,"[91, 54]",True,384368.00,,,,,,,,,,,,,,,Back,,,,5,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
