playerId,BallRecovery,BallTouch,BlockedPass,Card,Clearance,Foul,Interception,OffsidePass,Pass,Tackle,Aerial,CornerAwarded,Save,SubstitutionOff,TakeOn,Claim,KeeperPickup,Challenge,Dispossessed,SubstitutionOn,OffsideProvoked,Goal,MissedShots,OffsideGiven,SavedShot,Error,ShieldBallOpp,KeeperSweeper,Punch,Smother
94042.00,6,1,1,1,1,4,1,2,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101374.00,4,0,0,0,1,0,0,0,61,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122714.00,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
136741.00,4,1,1,0,1,1,0,0,44,4,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
262854.00,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
313171.00,4,0,0,0,4,0,0,0,79,0,2,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
315227.00,1,1,0,0,0,1,0,0,4,1,4,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
320242.00,0,2,0,0,0,3,1,1,26,2,1,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
333048.00,1,3,0,0,2,4,0,0,17,1,3,1,1,1,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0
343382.00,1,7,1,1,1,5,0,0,60,1,1,2,0,0,3,0,0,0,4,0,0,1,2,0,0,1,0,0,0,0
355401.00,3,6,2,0,6,0,3,0,68,6,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
368547.00,2,2,0,0,5,0,1,1,37,2,1,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
377411.00,4,4,0,0,0,0,0,0,14,2,3,0,0,0,3,0,0,2,1,0,0,0,0,3,1,0,0,0,0,0
386153.00,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
388098.00,1,4,0,0,0,2,0,0,22,0,0,2,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
394749.00,1,1,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
394933.00,2,0,0,0,3,1,0,0,20,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
397585.00,8,1,2,0,1,2,1,0,30,4,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
402810.00,2,1,0,0,4,0,0,0,61,2,3,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
402823.00,0,1,1,0,0,0,0,0,10,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
403693.00,2,2,1,0,1,4,1,0,57,4,1,1,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
404852.00,1,0,0,0,1,0,0,0,31,0,0,1,3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,3,1,1
409730.00,2,2,0,0,1,0,0,0,15,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
415341.00,2,3,0,0,3,0,0,0,28,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422939.00,4,3,1,0,2,4,1,0,78,3,3,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
424039.00,2,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
430709.00,4,3,1,0,1,1,0,0,34,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
431283.00,4,1,0,0,2,1,0,0,59,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
444791.00,1,3,0,0,4,2,2,0,54,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468847.00,0,1,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
493206.00,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
544982.00,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
