playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,s_claimsHigh,s_possession,s_ratings,s_clearances,s_touches,s_passesTotal,s_passesAccurate,s_interceptions,s_throwInsTotal,s_throwInsAccurate,s_foulsCommited,s_tacklesTotal,s_tackleSuccessful,s_passesKey,s_aerialsTotal,s_defensiveAerials,s_tackleUnsuccesful,s_dribbledPast,s_dribblesWon,s_dribblesAttempted,s_dispossessed,s_shotsTotal,s_shotsOffTarget,s_errors,s_offensiveAerials,s_dribblesLost,s_aerialsWon,s_cornersTotal,s_shotsBlocked,s_offsidesCaught,s_shotsOnTarget,teamId,s_totalSaves,s_collected,s_parriedSafe,s_cornersAccurate,s_passSuccess,s_dribbleSuccess,s_tackleSuccess,s_aerialSuccess,s_throwInAccuracy,minutes,s_touches_per90,s_passesTotal_per90,s_passesAccurate_per90,s_passesKey_per90,s_shotsTotal_per90,s_shotsOnTarget_per90,s_dribblesAttempted_per90,s_dribblesWon_per90,s_tacklesTotal_per90,s_tackleSuccessful_per90,s_tackleUnsuccesful_per90,s_interceptions_per90,s_clearances_per90,s_aerialsTotal_per90,s_aerialsWon_per90,s_offsidesCaught_per90,s_dispossessed_per90,s_foulsCommited_per90,s_cornersTotal_per90,s_cornersAccurate_per90,s_throwInsTotal_per90,s_throwInsAccurate_per90,s_totalSaves_per90,s_parriedSafe_per90,s_errors_per90,pass_acc_pct,dribble_succ_pct,aerial_win_pct,tackle_succ_pct,corner_acc_pct,throwin_acc_pct
122714,1,José Sá,GK,192,84,32,1.0,False,home,,,,,,,1.00,1.30,5.66,1.00,28.00,23.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,78.26,,,,,104.00,24.23,19.90,15.58,,,,,,,,,,0.87,,,,,,,,,,,,,78.26,,,,,
94042,2,Matt Doherty,DC,185,80,33,1.0,False,home,,,,,,,,1.26,5.96,1.00,55.00,42.00,38.00,1.00,2.00,2.00,3.00,3.00,3.00,,,,,,,,,,,,,,,,,,,161,,,,,90.48,,100.00,,100.00,104.00,47.60,36.35,32.88,,,,,,2.60,2.60,,0.87,0.87,,,,,2.60,,,1.73,1.73,,,,90.48,,,100.00,,100.00
431283,24,Toti Gomes,DC,187,72,26,1.0,False,home,,,,,,,,1.57,5.76,2.00,67.00,57.00,50.00,,1.00,1.00,,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,161,,,,,87.72,100.00,66.67,,100.00,104.00,57.98,49.33,43.27,0.87,,,0.87,0.87,2.60,1.73,0.87,,1.73,0.87,,,0.87,,,,0.87,0.87,,,,87.72,100.00,,66.67,,100.00
402810,12,Emmanuel Agbadou,DC,192,80,28,1.0,False,home,,,,,,,,1.49,5.29,4.00,71.00,61.00,51.00,,,,,2.00,2.00,,3.00,3.00,,,,,1.00,1.00,1.00,1.00,,,,,,,,161,,,,,83.61,,100.00,,,104.00,61.44,52.79,44.13,,0.87,,,,1.73,1.73,,,3.46,2.60,,,0.87,,,,,,,,0.87,83.61,,,100.00,,
368547,26,Ki-Jana Hoever,DMR,183,65,23,1.0,False,home,402823.00,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,,,,,1.42,6.30,4.00,51.00,22.00,11.00,1.00,10.00,9.00,,3.00,2.00,1.00,1.00,,1.00,1.00,,1.00,2.00,,,,1.00,1.00,,,,,,161,,,,,50.00,,66.67,,90.00,78.00,58.85,25.38,12.69,1.15,,,1.15,,3.46,2.31,1.15,1.15,4.62,1.15,,,2.31,,,,11.54,10.38,,,,50.00,,,66.67,,90.00
415341,6,David Møller Wolfe,DML,185,78,23,1.0,False,home,409730.00,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,,,,,1.28,5.98,3.00,36.00,20.00,11.00,,5.00,3.00,,1.00,1.00,,1.00,,,,,,1.00,,,,1.00,,1.00,2.00,,,,161,,,,,55.00,,100.00,100.00,60.00,77.00,42.08,23.38,12.86,,,,,,1.17,1.17,,,3.51,1.17,1.17,,1.17,,2.34,,5.84,3.51,,,,55.00,,100.00,100.00,,60.00
403693,8,João Gomes,MC,176,74,24,1.0,False,home,,,,,,,,1.58,6.29,1.00,70.00,57.00,52.00,1.00,,,3.00,9.00,4.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,,,,,,1.00,,,,,161,,,,,91.23,100.00,44.44,100.00,,104.00,60.58,49.33,45.00,0.87,,,0.87,0.87,7.79,3.46,4.33,0.87,0.87,0.87,0.87,,0.87,2.60,,,,,,,,91.23,100.00,100.00,44.44,,
397585,7,André,MC,176,77,24,1.0,False,home,544982.00,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,,,,,1.30,6.08,1.00,43.00,30.00,29.00,1.00,,,1.00,7.00,4.00,,1.00,1.00,3.00,3.00,,1.00,1.00,,,,,1.00,,,,,,161,,,,,96.67,,57.14,,,77.00,50.26,35.06,33.90,,,,1.17,,8.18,4.68,3.51,1.17,1.17,1.17,,,1.17,1.17,,,,,,,,96.67,,,57.14,,
377411,5,Marshall Munetsi,FWR,188,83,29,1.0,False,home,,,,,,,,1.08,6.03,,25.00,12.00,8.00,,,,,4.00,2.00,,3.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,,,2.00,,1.00,,1.00,3.00,,161,,,,,66.67,100.00,50.00,33.33,,104.00,21.63,10.38,6.92,,0.87,,1.73,1.73,3.46,1.73,1.73,,,2.60,0.87,2.60,0.87,,,,,,,,,66.67,100.00,33.33,50.00,,
333048,9,Jørgen Strand Larsen,FW,193,79,25,1.0,False,home,262854.00,"{'value': 2, 'displayName': 'SecondHalf'}",87.00,,,,,1.55,6.18,2.00,30.00,17.00,12.00,,,,3.00,1.00,1.00,,3.00,1.00,,,,,1.00,4.00,1.00,,2.00,,2.00,1.00,1.00,1.00,2.00,161,,,,,70.59,,100.00,66.67,,87.00,31.03,17.59,12.41,,4.14,2.07,,,1.03,1.03,,,2.07,3.10,2.07,1.03,1.03,3.10,1.03,,,,,,,70.59,,66.67,100.00,,
