id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,qNone_PassEndY,qNone_Length,qNone_PassEndX,qNone_Angle,qNone_Zone,qNone_Longball,qNone_Defensive,qNone_OppositeRelatedEvent,qNone_Offensive,qNone_Chipped,qNone_LeftFoot,qNone_Cross,qNone_Head,qNone_MissLeft,qNone_MissRight,qNone_CornerTaken,qNone_RightFoot,qNone_ThrowIn,qNone_OverRun,qNone_LayOff,qNone_GoalKick,qNone_PlayerCaughtOffside,qNone_FreekickTaken,qNone_IndirectFreekickTaken,qNone_Foul,qNone_HeadPass,qNone_MissHigh,qNone_StandingSave,qNone_IntentionalAssist,qNone_ShotAssist,qNone_BigChanceCreated,qNone_KeyPass,qNone_GoalMouthY,qNone_BoxCentre,qNone_FirstTouch,qNone_FromCorner,qNone_BigChance,qNone_RelatedEventId,qNone_Assisted,qNone_GoalMouthZ,qNone_KeeperThrow,qNone_SmallBoxCentre,qNone_RegularPlay,qNone_Blocked,qNone_BlockedY,qNone_BlockedX,qNone_LowRight,qNone_OutfielderBlock,qNone_GoalDisallowed,qNone_LeadingToAttempt,qNone_OutOfBoxCentre,qNone_IndividualPlay,qNone_HighClaim,qNone_LowLeft,qNone_LowCentre,qNone_Volley,qNone_Throughball,qNone_IntentionalGoalAssist,qNone_BlockedCross,qNone_LeadingToGoal,qNone_FastBreak,qNone_BoxLeft,qNone_Yellow,qNone_HighCentre,qNone_SetPiece,qNone_ParriedSafe,qNone_Hands,qNone_KeeperSaveInTheBox,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_InvolvedPlayers,qNone_TeamPlayerFormation,qNone_CaptainPlayerId,qNone_TeamFormation,qNone_DivingSave,qNone_HighRight,qNone_DirectFreekick,qNone_BoxRight,qNone_Collected
2835689003.00,3,0,0.00,167,0.00,0.00,0,FirstHalf,Start,Successful,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835688979.00,3,0,0.00,161,0.00,0.00,0,FirstHalf,Start,Successful,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689073.00,4,0,0.00,167,50.00,50.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 37, 215, 218]",True,136741.00,24.00,52.40,,,,,,,,,,52.4,27.3,24.0,3.08,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689157.00,5,0,3.00,167,24.20,53.30,0,FirstHalf,Pass,Unsuccessful,"[91, 120, 128, 36, 38, 217, 218]",True,404852.00,74.30,48.60,,,,,,,,,,48.6,52.7,74.3,6.22,Center,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689205.00,4,0,8.00,161,24.90,54.50,0,FirstHalf,Pass,Unsuccessful,"[91, 120, 128, 36, 37, 217, 218]",True,402810.00,85.90,58.50,,,,,,,,,,58.5,64.1,85.9,0.04,Center,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689339.00,6,0,15.00,167,10.40,41.10,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 38, 215, 218]",True,404852.00,21.30,26.30,,,,,,,,,,26.3,15.2,21.3,5.56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689449.00,7,0,20.00,167,24.00,27.10,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 215, 218]",True,101374.00,25.20,51.20,,,,,,,,,,51.2,16.4,25.2,1.49,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689475.00,8,0,25.00,167,25.80,53.20,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 215, 218]",True,313171.00,28.80,70.60,,,,,,,,,,70.6,12.2,28.8,1.31,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689511.00,9,0,27.00,167,28.80,68.80,0,FirstHalf,Pass,Successful,"[91, 117, 30, 35, 38, 215, 218]",True,355401.00,26.00,49.80,,,,,,,,,,49.8,13.3,26.0,4.49,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689559.00,10,0,29.00,167,27.30,47.50,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 215, 218]",True,313171.00,31.60,59.80,,,,,,,,,,59.8,9.5,31.6,1.08,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835929205.00,760,0,32.00,161,63.90,45.20,0,FirstHalf,Challenge,Unsuccessful,[55],False,377411.00,,,,,,,,,,,,,,,,Center,,1.00,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835929207.00,940,0,32.00,167,36.10,54.80,0,FirstHalf,TakeOn,Successful,"[91, 54]",True,422939.00,,,,,,,,,,,,,,,,Back,,,760,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689609.00,11,0,34.00,167,33.90,62.00,0,FirstHalf,Pass,Successful,"[91, 117, 30, 36, 37, 216, 218]",True,422939.00,43.00,77.90,,,,,,,,,,77.9,14.4,43.0,0.85,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689657.00,12,0,37.00,167,47.90,82.20,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 37, 216, 218]",True,136741.00,62.50,97.50,,,,,,,,,,97.5,18.5,62.5,0.60,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689681.00,13,0,41.00,167,71.60,82.10,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,388098.00,67.10,72.10,,,,,,,,,,72.1,8.3,67.1,4.11,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689829.00,14,0,44.00,167,68.70,68.30,0,FirstHalf,Pass,Successful,"[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,422939.00,75.40,17.20,,,,,,,,,,17.2,35.5,75.4,4.91,Right,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689873.00,15,0,51.00,167,75.20,18.00,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,430709.00,67.70,32.50,,,,,,,,,,32.5,12.6,67.7,2.24,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835689897.00,16,0,54.00,167,67.10,33.30,0,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 37, 216, 218]",True,101374.00,60.70,51.50,,,,,,,,,,51.5,14.1,60.7,2.07,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
